_id,contentId,collectionId,contentType,language,contentIndex,tags,createdAt,text,multilingual,mech1_type,mech1_question,mech1_option1,mech1_option2,mech1_option3,mech1_correct,mech2_type,mech2_question,mech2_option1,mech2_option2,mech2_option3,mech2_correct,mech3_type,mech3_question,mech3_option1,mech3_option2,mech3_option3,mech3_correct
65e8560475372f314360a638,6ff058fd-5aa3-4af0-8148-b71ead4fe3b0,f18f2a47-b762-4798-a15f-9ba1202abc42,word,hi,7,,2024-02-29T12:55:30.791Z,पुल,,,,,,,,,,,,,,,,,,,
65e8560475372f314360a63a,3f4c7db4-52f9-4503-8348-429be1425ef6,f18f2a47-b762-4798-a15f-9ba1202abc42,word,hi,8,,2024-02-29T12:55:30.791Z,आलू,,,,,,,,,,,,,,,,,,,
65e8560475372f314360a63c,ff2060cf-10be-4be0-b1ff-6c0c26105e46,00644696-a8b6-48fc-b73f-25a0da567a14,word,hi,9,,2024-02-29T12:55:30.791Z,रोज़,,,,,,,,,,,,,,,,,,,
65e8560475372f314360a63e,4d694a73-1c06-4736-a032-3bbcff1fdc26,00644696-a8b6-48fc-b73f-25a0da567a14,word,hi,10,,2024-02-29T12:55:30.791Z,चौकी,,,,,,,,,,,,,,,,,,,
65e8561b75372f314360a640,1438b1fc-aebf-41ae-82a1-3e61f182dfb6,8cd631b3-fd13-406f-897a-8a6bd9f3c1d6,word,hi,1,,2024-02-29T12:55:30.791Z,नाक,,,,,,,,,,,,,,,,,,,
65e8561b75372f314360a642,6a25f9f7-bb66-4112-8af3-17bb9c13e7d0,8cd631b3-fd13-406f-897a-8a6bd9f3c1d6,word,hi,2,,2024-02-29T12:55:30.791Z,चूहा,,,,,,,,,,,,,,,,,,,
65e8561b75372f314360a644,04e24c1f-46b0-481a-93cb-b26775daf71c,6f64d4a2-b6e5-4a2b-91e5-f6be9f2d4d8b,word,hi,3,,2024-02-29T12:55:30.791Z,खेत,,,,,,,,,,,,,,,,,,,
65e8561b75372f314360a646,1b4f63a6-7de4-4f43-8fa0-5c69baa8fb05,8cd631b3-fd13-406f-897a-8a6bd9f3c1d6,word,hi,4,,2024-02-29T12:55:30.791Z,मोर,,,,,,,,,,,,,,,,,,,
65e8561b75372f314360a648,23cc2508-c1a6-4cfd-a7f7-4a669a4f7bb9,8cd631b3-fd13-406f-897a-8a6bd9f3c1d6,word,hi,5,,2024-02-29T12:55:30.791Z,पीला,,,,,,,,,,,,,,,,,,,
65e8561c75372f314360a64a,96090dc1-b346-4a3e-bfad-bfe2d051b33c,8cd631b3-fd13-406f-897a-8a6bd9f3c1d6,word,hi,6,,2024-02-29T12:55:30.791Z,खुश,,,,,,,,,,,,,,,,,,,
65e8561c75372f314360a64c,3f23a241-4c51-4893-94fd-61081cb6d83d,6f64d4a2-b6e5-4a2b-91e5-f6be9f2d4d8b,word,hi,7,,2024-02-29T12:55:30.791Z,भैया,,,,,,,,,,,,,,,,,,,
65e8561c75372f314360a64e,2e5100e0-3e64-4429-8302-610108f471a6,6f64d4a2-b6e5-4a2b-91e5-f6be9f2d4d8b,word,hi,8,,2024-02-29T12:55:30.791Z,रोटी,,,,,,,,,,,,,,,,,,,
65e8561c75372f314360a650,12c1a319-0162-4736-999d-eecccb3ab589,6f64d4a2-b6e5-4a2b-91e5-f6be9f2d4d8b,word,hi,9,,2024-02-29T12:55:30.791Z,तोता,,,,,,,,,,,,,,,,,,,
65e8561c75372f314360a652,2a01de4a-9d9b-4e90-aedc-672a51d392e7,6f64d4a2-b6e5-4a2b-91e5-f6be9f2d4d8b,word,hi,10,,2024-02-29T12:55:30.791Z,गिन,,,,,,,,,,,,,,,,,,,
65e8563e75372f314360a655,18910236-f859-4988-ace7-93c59f68c32c,62fca34f-12da-4017-83f5-ae88bf99c48d,sentence,hi,1,,2024-02-29T12:55:30.791Z,गीता के बगीचे में नीम का एक पेड़ था।,,,,,,,,,,,,,,,,,,,
65e8563e75372f314360a657,b8d1275f-d5ce-4d52-9bd1-f92d635dd2f7,62fca34f-12da-4017-83f5-ae88bf99c48d,sentence,hi,2,,2024-02-29T12:55:30.791Z,पेड़ पर बहुत-सी चिड़ियाँ रहती थी।,,,,,,,,,,,,,,,,,,,
65e8563e75372f314360a659,c7535f4d-21d3-4a4a-ae8b-c08bd50d1f9f,62fca34f-12da-4017-83f5-ae88bf99c48d,sentence,hi,3,,2024-02-29T12:55:30.791Z,गीता सुबह चिड़ियो की आवाज़ से उठती थी।,,,,,,,,,,,,,,,,,,,
65e8563e75372f314360a65b,dd168864-e952-427c-a1e9-a3fd08324991,62fca34f-12da-4017-83f5-ae88bf99c48d,sentence,hi,4,,2024-02-29T12:55:30.791Z,नहा-धोकर वह स्कूल चली जाती थी।,,,,,,,,,,,,,,,,,,,
65e8563f75372f314360a65d,ed295e55-466c-4eb9-bbd7-197e15881b6e,62fca34f-12da-4017-83f5-ae88bf99c48d,sentence,hi,5,,2024-02-29T12:55:30.791Z,जब वह वापस आती  तब पेड़ पर चिड़ियाँ नहीं होती थी।,,,,,,,,,,,,,,,,,,,
